Designator,Mid X,Mid Y,Layer,Rot
U2,259.755,-108.9634,top,0
C1,252.9032,-97.9532,top,-90
C2,249.652,-106.2336,top,180
C3,250.575,-94.2234,top,90
C4,242.255,-104.1334,top,180
C5,254.224,-97.6484,top,-90
C6,245.1816,-94.2448,top,90
C7,244.095,-94.2534,top,90
C8,243.085,-92.8034,top,90
C9,251.3284,-96.099,top,0
C10,249.125,-94.7234,top,0
C11,246.665,-94.4834,top,0
C12,254.275,-108.8934,top,90
C13,259.845,-104.1634,top,180
C14,238.8316,-95.6164,top,90
C15,240.685,-101.9934,top,-90
C16,221.9696,-96.2804,top,180
C17,222.0596,-98.3204,top,180
C18,241.135,-107.2034,top,0
D1,260.665,-99.4434,top,-90
D2,179.855,-81.6925,top,90
D3,183.9,-81.6925,top,90
D4,187.945,-81.6925,top,90
D5,191.99,-81.6925,top,90
D6,196.035,-81.6925,top,90
D7,200.08,-81.6925,top,90
D8,204.125,-81.6925,top,90
D9,208.17,-81.6925,top,90
D10,179.85,-85.7425,top,90
D11,183.895,-85.7425,top,90
D12,187.94,-85.7375,top,90
D13,191.985,-85.7375,top,90
D14,196.03,-85.7375,top,90
D15,200.075,-85.7375,top,90
D16,204.12,-85.7375,top,90
D17,208.165,-85.7375,top,90
D18,179.845,-89.7875,top,90
D19,183.89,-89.7875,top,90
D20,187.935,-89.7875,top,90
D21,191.98,-89.7875,top,90
D22,196.025,-89.7875,top,90
D23,200.07,-89.7825,top,90
D24,204.115,-89.7825,top,90
D25,208.16,-89.7825,top,90
D26,179.84,-93.8325,top,90
D27,183.885,-93.8325,top,90
D28,187.93,-93.8325,top,90
D29,191.975,-93.8325,top,90
D30,196.02,-93.8325,top,90
D31,200.065,-93.8325,top,90
D32,204.11,-93.8325,top,90
D33,208.155,-93.8325,top,90
D34,179.835,-97.8775,top,90
D35,183.88,-97.8775,top,90
D36,187.925,-97.8775,top,90
D37,191.97,-97.8775,top,90
D38,196.015,-97.8775,top,90
D39,200.06,-97.8775,top,90
D40,204.105,-97.8775,top,90
D41,208.15,-97.8775,top,90
D42,179.83,-101.9275,top,90
D43,183.875,-101.9275,top,90
D44,187.92,-101.9275,top,90
D45,191.965,-101.9225,top,90
D46,196.01,-101.9225,top,90
D47,200.055,-101.9225,top,90
D48,204.1,-101.9225,top,90
D49,208.145,-101.9225,top,90
D50,179.825,-105.9725,top,90
D51,183.87,-105.9725,top,90
D52,187.915,-105.9725,top,90
D53,191.96,-105.9725,top,90
D54,196.005,-105.9725,top,90
D55,200.05,-105.9725,top,90
D56,204.095,-105.9675,top,90
D57,208.14,-105.9675,top,90
D58,179.82,-110.0175,top,90
D59,183.865,-110.0175,top,90
D60,187.91,-110.0175,top,90
D61,191.955,-110.0175,top,90
D62,196,-110.0175,top,90
D63,200.045,-110.0175,top,90
D64,204.09,-110.0175,top,90
D65,208.135,-110.0175,top,90
FB1,242.075,-94.5534,top,180
J3,247.62,-115.53,top,0
U5,235.535,-104.7634,top,-90
U4,222.7096,-104.9204,top,90
R1,254.3256,-100.1884,top,90
R2,249.1948,-109.0784,top,90
R3,246.5024,-109.0784,top,90
R5,260.695,-96.7934,top,90
R6,224.1096,-96.2154,top,-90
R7,236.22,-98.45,top,-90
SW1,263.15,-89.77,top,90
U3,239.3396,-98.4104,top,0
U6,247.112,-100.4424,top,-90
Y1,247.875,-91.3534,top,180
